,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
JN024284-JN024292,JN024293-JN024302,100.00,[100 - NaN%],0.0000,99.62,98.40,[97.7 - 98.9%],0.0026,97.94,100.00,[100 - 100%],0.0026,99.99,0.00
JN024284-JN024292,JN024303-JN024312,100.00,[100 - NaN%],0.0000,99.62,96.80,[95.7 - 97.7%],0.0045,97.62,100.00,[99.9 - 100%],0.0045,99.99,0.10
JN024284-JN024292,JN024313-JN024321,100.00,[100 - 100%],0.0000,99.62,97.50,[96.5 - 98.2%],0.0037,97.75,100.00,[99.9 - 100%],0.0037,99.99,0.02
JN024284-JN024292,JN024322  JN024323  JN024324  JN024325  JN024326  JN024327  JN024328  JN024329  JN024330  JN024498,100.00,[100 - 100%],0.0006,99.61,97.30,[96.3 - 98.1%],0.0039,97.72,100.00,[99.9 - 100%],0.0045,99.99,0.07
JN024284-JN024292,JN024331  JN024332  JN024333  JN024334  JN024335  JN024336  JN024337  JN024338  JN024499  JN024500,100.00,[100 - 100%],0.0006,99.61,95.60,[94.1 - 96.7%],0.0060,97.34,99.90,[99.9 - 100%],0.0066,99.98,0.08
JN024284-JN024292,JN024100  JN024101  JN024103  JN024104  JN024105  JN024106  JN024107  JN024108  JN024109,100.00,[100 - 100%],0.0013,99.61,43.60,[41.1 - 46.2%],0.0882,6.22,92.90,[90.6 - 94.7%],0.0894,99.71,0.00
JN024284-JN024292,JN024110-JN024119,100.00,[100 - NaN%],0.0000,99.62,43.50,[41 - 46%],0.0886,6.04,93.00,[90.7 - 94.8%],0.0886,99.72,0.02
JN024284-JN024292,JN024120-JN024129,100.00,[100 - 100%],0.0012,99.61,43.70,[41.1 - 46.2%],0.0880,6.29,93.00,[90.6 - 94.7%],0.0891,99.71,0.04
JN024284-JN024292,JN024130-JN024138,100.00,[100 - NaN%],0.0000,99.62,43.70,[41.1 - 46.2%],0.0880,6.3,93.10,[90.8 - 94.9%],0.0880,99.72,0.00
JN024284-JN024292,JN024139-JN024148,100.00,[100 - 100%],0.0005,99.61,43.90,[41.4 - 46.5%],0.0873,6.61,93.10,[90.8 - 94.9%],0.0878,99.73,0.05
JN024284-JN024292,JN024149  JN024150  JN024151  JN024152  JN024153  JN024154  JN024155  JN024156  JN024157  JN024158  JN024493  JN024494  JN024533  JN024534,100.00,[100 - 100%],0.0005,99.61,43.90,[41.4 - 46.5%],0.0874,6.6,93.10,[90.8 - 94.9%],0.0878,99.73,0.07
JN024284-JN024292,JN024159  JN024160  JN024161  JN024162  JN024163  JN024164  JN024535  JN024536  JN024572,100.00,[100 - 100%],0.0004,99.61,43.80,[41.3 - 46.4%],0.0876,6.49,93.10,[90.8 - 94.9%],0.0879,99.72,0.02
JN024284-JN024292,JN024165  JN024166  JN024167  JN024168  JN024169  JN024170  JN024171  JN024172  JN024173  JN024495  JN024537,100.00,[100 - 100%],0.0001,99.62,45.30,[42.7 - 47.9%],0.0835,8.67,93.70,[91.5 - 95.3%],0.0836,99.76,0.02
JN024284-JN024292,JN024174  JN024175  JN024176  JN024177  JN024179  JN024180  JN024181,100.00,[100 - 100%],0.0007,99.61,43.40,[40.9 - 45.9%],0.0888,5.93,92.90,[90.6 - 94.7%],0.0894,99.71,0.01
JN024284-JN024292,JN024182  JN024183  JN024184  JN024185  JN024186  JN024524  JN024525  JN024526  JN024527  JN024528,100.00,[100 - 100%],0.0005,99.61,45.70,[43.1 - 48.2%],0.0824,9.33,93.80,[91.6 - 95.4%],0.0829,99.77,0.03
JN024284-JN024292,JN024187  JN024188  JN024189  JN024190  JN024191  JN024192  JN024529  JN024530  JN024531  JN024532,100.00,[100 - 100%],0.0006,99.61,43.50,[41 - 46.1%],0.0884,6.13,93.00,[90.7 - 94.8%],0.0889,99.71,0.04
JN024284-JN024292,JN024193-JN024202,100.00,[100 - 100%],0.0001,99.62,43.10,[40.6 - 45.7%],0.0896,5.63,92.90,[90.5 - 94.7%],0.0897,99.71,0.05
JN024284-JN024292,JX976707  JX976708  JX976709,99.60,[99.3 - 99.8%],0.0101,99.51,27.40,[25.1 - 29.9%],0.1573,0.03,80.60,[77.2 - 83.6%],0.1659,95.95,0.04
JN024284-JN024292,JX976710  JX976711  JX976712  JX976713  JX976715  JX976716,99.60,[99.2 - 99.8%],0.0103,99.51,27.50,[25.1 - 30%],0.1570,0.03,80.70,[77.3 - 83.6%],0.1657,95.97,0.03
